Author,Comment,Likes,Replies,Date
"@ZunuY","People posting thier ILLEGALLY crossing the boarder journey publicly on social media is more frightening and also pathetic. Afno jyan bhanda pyaro tiktok? 🤦🏻‍♀️ bharey tyo video haru ley afulai samsya nalyaos and yesari post garna ley aru pani jhan influence hudai cha jasto lagcha malai chai. Ramro sanga bichar garera matra yesto kadham uthaum hola.",587,20,10/28/2022
"@SwagataPramanik-z5i","🚨🚨🚨🚨⚔️🛡️🚔",0,0,12/5/2025
"@manchesterunited8390","Stay in your own country and Build.",0,0,3/2/2025
"@santoshsantosh3093","Janta haru afai jagnu parxa rw aware hunu parxa ani matra problem solve hunxa navaya noksaan hamro nai ho🙏😊🙏🫡😊",1,0,9/30/2024
"@ravigurung1828","Eu nepali Ho bhanne daju Kaha hola Kasto hola bhanne Janna ko lagi ecchuk chu ma?? Do anybody know??",1,0,8/26/2024
"@sadrakthapa108","यो सबैभन्दा खराबसोच?",1,0,6/18/2024
"@aruntamang9433","Portugal pugera video herdai chhu.<br>Kahani relatable chha",1,0,6/12/2024
"@basantabhandari3385","I want to suggest to everyone work hard and live life simple in our country.",1,0,6/4/2024
"@saugatjang5647","usa be like need more publicity 😅 come to nepal jai pashupatinath 🙏",1,0,5/29/2024
"@mahi222","Its from nepal to USA right",0,0,4/1/2024
"@subashshretha6138","<a href=""https://www.youtube.com/watch?v=NAuiAtV7gWM&amp;t=103"">https://www.youtube.com/watch?v=NAuiAtV7gWM&amp;t=103s</a>",0,0,1/11/2024
"@janitachamling3199","It is called dunkey process . Hamro neighbourma vayeko yekjana ddko relative + husband pani yei dunki  process bata USma pugeko xa . I ve heard that india ko certain places  ma ta  dunky process duwara US purauna budget anusarko pacakage hunxare",2,0,1/1/2024
"@algaw211","We have a WhatsApp group for immigrants and refugees in Americas<a href=""https://chat.whatsapp.com/JDsxOFzdT9zArO9vDZnxiz"">https://chat.whatsapp.com/JDsxOFzdT9zArO9vDZnxiz</a>",1,0,12/12/2023
"@20xSuyog","Shah Rukh khan made a movie based on this issue called <a href=""http://www.youtube.com/results?search_query=%23dunki"">#Dunki</a> which will release on 21st Dec 2023 (11 days more to release)",1,0,12/10/2023
"@siknesz5360","kasaile banaideyoss jasto lagthyoo yoo video 🙏",1,0,12/5/2023
"@krishnabaniya1524","You are right bro",1,0,12/4/2023
"@nancythapa1185","This is a serious topic which should be noticed by Nepal government and implement strict rules against those agents",1,0,11/16/2023
"@musimix5990","As knowing The world is everyone&#39;s home, and it should be easy for everyone to visit any country.",2,0,11/1/2023
"@Santosh_pun7","Sir ko kura thik ho tarw kina j jasto vayeni ki pariwar kai lai yo risk ni sano lagcha ra bhabisay sabreyre la vanney huncha",1,0,10/15/2023
"@sukebudha555","Good job  awarēness failaunu ramro ho",1,0,9/19/2023
"@gusto8069","Build your own country",1,0,8/30/2023
"@zzntkcv397","If there was a functional  Nepali government  and intelligentsia, this documentary  would win the 1st prize in a competition!",1,0,6/14/2023
"@princeofdarkness2630","Panama jungle dengerious",1,0,6/9/2023
"@hansiabhayjaishi18","Ke jaanu paryyo ho , aaffeii garr , aaffnu thaawma garr",1,0,6/7/2023
"@Kaaju23","Hoina usa illegal tetro tirera jaanu chaae kina achamma 6 yrr😡😡😡",1,0,5/29/2023
"@ss-zz6ii","Its in nepali 😢 i cnt understand it , i am indian . Ps Jai shree ram",1,0,5/21/2023
"@everestjumper1","amazing video. subscribed.",1,0,5/19/2023
"@SantoPok","Authenticity of your data???",1,1,5/18/2023
"@filmikura","Portugal ko alik research  pugena",1,0,5/17/2023
"@Vlogersagar","Sab pagal huun yetro paisa kharcha garera jada t . Jindagi nai gumauna parne 🙏 .",1,0,5/15/2023
"@damontamang","K garnu mache ko jiwan ta ho dukha ra vok ley k k garauca",1,0,5/15/2023
"@arjunupadhya7653","i am living  in portugal since 2015 ,i know how people came .i met a guy who came from Qatar walking here ,bro thats crazy.",1,0,5/14/2023
"@Michaelkatwal","😮😮😮😮😮😮😮 <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=177"">2:57</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a> <a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=178"">2:58</a>",1,0,5/14/2023
"@bipin_raut","Very beautiful❤❤❤❤",1,0,5/12/2023
"@Travelwithgurung-U.G","Bhai agent biswasilo paryo vane asari Hindera janu pardaina kunai kunai agent le scam gareko hunale alpatra pardiyeka hunxan ra asari januparxa mero najiko ko nadedar asari gayeko thiyo tara jungle jungle container ma janu parena by bus nai boarder par gareko gayeka thiye Aile us ma xan lagvak 5 years vayo ma vanxu batho manche hattakaatta manche le matra asari yo route gaye ramro",1,0,5/12/2023
"@shreejalshrestha2017","<a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=498"">8:18</a> this guy knows about Bhutanese refugees scams six months ago and there is nepal police who just barely start catching criminals.",2,0,5/11/2023
"@vickeypandey5343","Yo sab garaune vanya nepal ka chor neta haru ho",1,0,5/10/2023
"@sauravkarkie","My uncle is on the way to US, the same way you mentioned. It&#39;s been 2 months already",2,0,5/10/2023
"@dionerap","Thank you so much dada for this information.",2,0,5/9/2023
"@xerox-g2w","Copy right awudaina dai aqru ko clip use grda",1,0,5/8/2023
"@luff441","information vedio",1,0,5/7/2023
"@luff441","Respect Brother",1,0,5/7/2023
"@AshishAcharya","Thanks the Nepali comment 💕❤",1,0,5/7/2023
"@bishwasingh5976","Sahi kura garnu bhayo brother",2,0,5/5/2023
"@sagunsharma9454","Bro portugal ma yeti bijok cha ki 1 barsa dekhi kaam na gari basna parya cha . Manche haru homeless vako chan",1,0,5/5/2023
"@PrithvikcOfficial97","Nepal to USA<br>Detained and deported full story😢<br><br><a href=""https://www.youtube.com/watch?v=KBa87QNJ8VI"">https://youtu.be/KBa87QNJ8VI?si=LlEU0ywPEWwuwpqY</a>",2,0,5/5/2023
"@madanthapa465","Such a great content",1,0,5/4/2023
"@Ghanikhammasir","Was thinking of this some days ago and u did it like u read minds kudos",2,0,5/2/2023
"@experimenttime3133","<a href=""https://www.youtube.com/watch?v=0jcF4qkDR44&amp;t=451"">7:31</a> (the cross sign) glitch in the matrix?",2,0,5/1/2023
"@rovinimoni9418","Croatia 🇭🇷 is good",1,0,4/27/2023
"@shasanka9872","finally found nepali reporter as indian dhruv rathe❤❤ love it",1,0,4/27/2023
"@nauloyatraentertainment6755","यत्राे मेहेनत youtube मा गर्ने हो भने famous YouTuber भएर पछि घुम्न संसार भर भिसा लाग्छ अरु युद्ध भएको देश र भोकमरी लागेको देशको मान्छेकाे लागी त ठिकै हो यसरी जान तर हाम्रो देशमा त अहिले ज्यानको बाजी लगाएर जानु पर्ने गरी खानै नपाउने अवस्था त आएको छैन त हो।",1,0,4/26/2023
"@skrsundar1014","ees<br>This is too much. When i heard about this and watched related documentries i was literally shocked.",1,0,4/25/2023
"@hashteraryal2311","that&#39;s why teacher says read properly madarchod",1,0,4/25/2023
"@Rowartartandmusic","Thukka mg nepal ko halt",1,0,4/24/2023
"@pradeepkarki497","True brother i reached malta leagl but when i tried to go portugal from malta i got cought by malta immigration and depoted to Nepal😢😢😢😢",1,0,4/24/2023
"@jjcreation619","What are the reasons for this kind of situation??",1,0,4/22/2023
"@ATs7vn","Only channel who explains every detail abt a issue thoroughly without any biased analysis 🫡🫡🫡",2,0,4/20/2023
"@AdventurarBR507","यत्रो नेपाली बर्षेनी बाहिरीएर पनि जनसंख्या बढ्ने रोजगार नपाउने समस्याहरू भै राखेकै छ । कतै यसको कारण गैरकानुनि रूपमा नागरिकता वितरण त होईन?",1,0,4/20/2023
"@ganeshsilwal9505","Nepal ko situation testai cha",1,0,4/19/2023
"@aakashkarki","Nice research topic",1,0,4/18/2023
"@sudhanbhitriya","Hl",1,0,4/18/2023
"@niceboy003","<a href=""https://www.youtube.com/watch?v=lxracZiSQBM"">https://youtu.be/lxracZiSQBM</a>",0,0,4/16/2023
"@sthasaurab940","कठै मेरो देश। Bhakkhar Aafno jiwan k ho bhanne bujhne umer huda dekhi nai Bidesh nai ho euta last option bhanera hamlai sikaincha... Hamro desh ko haalat yesto ghinlaagdo banaunu maa sarkar ra Nepali janta ko nai haat cha🫤 People would risk their life to leave this country rather than working their life out for the country... it&#39;s all because working for this country isn&#39;t worth it. Kaam garne manchey ko khutta taannna ta sarkar ni pachi na hatne desh maa gari khanchu bhanera kei kaam chaina",0,0,4/16/2023
"@Hem_Rai","Shree Ram was born in Nepal🇳🇵",1,0,4/9/2023
"@dipaktimalsina9861","great job bro <br>keep it up",1,0,3/22/2023
"@Deutschland-Fly","😢😢😢",1,0,3/21/2023
"@abhishekbhatt3195","Eti dherai paisa ani risk liyera arko desh ma jaanu bhanda aafnai desh maa kei garne risk linuna business garnus . Ani tyasmaa xai safal hune chance ek damai high xa arka ko desh ma marna jaanu wa deport huna jaanu bhanda .<br><br>Pls yasari illegally arko deshmaa jaanu bhanda afnai desh ma basnus baru noon snga roti khayera bhaye pani aafno family snga ta basnu sanknu hunexa",2,0,3/19/2023
"@dipendragurung3886","Muji haru Lai janu parya xata Europe ani america, estai hunu prxa ramro vayo.",1,0,3/18/2023
"@aashishsubedi-wf3fb","Ser aba k usa iligal  aru des ko manxe aaunu paudaenn r vedeo banaunn",1,0,3/11/2023
"@usler-5005","Llll9ll",0,0,2/22/2023
"@ambeedeoja2094","good job...keep it up",0,0,2/18/2023
"@subashthapa6470","You re doin nice job keep doing",0,0,2/17/2023
"@sanzokdhakal7494","A year ago I watched the documentary of Adam Yamaguchi . It just shook me. It is so terrifying",0,0,2/9/2023
"@randomuser835","@thenepalicomment please make a vedio about worst place in USA (Most developed country of world) compare to nepal. How their own country is negaleting their own people and working/ helping other countries as USAID and other INGOs etc. Why they are doing so ? please make it clear all about this !<a href=""https://www.youtube.com/watch?v=lf_IaLAXQCA"">https://youtu.be/lf_IaLAXQCA</a>",0,0,2/9/2023
"@josefgurungdenmark5625","Bhutanese refugee are all almost US citizen now.",0,0,2/7/2023
"@rakshasampangrai7006","Heart wrenching 😢",0,0,2/7/2023
"@nirojadhikari6146","Well done!!",0,0,2/6/2023
"@sujan_waiba_2977","✝️✝️❤️❤️🙏🙏🇳🇵🇳🇵",0,0,2/5/2023
